"Vorwahl";"Ortsnetz";"10_oder_11";"Losgr";"Sum_RNB";"Stand"
"02572";"Emsdetten";11;4;600;"07.10.2008"
"02573";"Nordwalde";1011;3;166;"07.10.2008"
"02574";"Saerbeck";1011;4;227;"07.10.2008"
"02575";"Greven-Reckenfeld";11;4;1444;"07.10.2008"
"02581";"Warendorf";11;4;724;"07.10.2008"
"02582";"Everswinkel";1011;3;173;"07.10.2008"
"02583";"Sassenberg";1011;4;346;"07.10.2008"
"02584";"Warendorf-Milte";1011;4;292;"07.10.2008"
"02585";"Warendorf-Hoetmar";1011;10;417;"07.10.2008"
"02586";"Beelen";1011;3;190;"07.10.2008"
"02587";"Ennigerloh-Westkirchen";1011;4;302;"07.10.2008"
"02588";"Harsewinkel-Greffen";1011;4;267;"07.10.2008"
"02590";"DÅlmen-Buldern";11;4;658;"07.10.2008"
"02591";"LÅdinghausen";11;4;1131;"07.10.2008"
"02592";"Selm";1011;4;225;"07.10.2008"
"02593";"Ascheberg Westf";1011;3;160;"07.10.2008"
"02594";"DÅlmen";11;4;423;"07.10.2008"
"02595";"Olfen";11;4;897;"07.10.2008"
"02596";"Nordkirchen";1011;4;208;"07.10.2008"
"02597";"Senden Westf";11;4;617;"07.10.2008"
"02598";"Senden-Ottmarsbocholt";1011;4;239;"07.10.2008"
"02599";"Ascheberg-Herbern";1011;4;293;"07.10.2008"
"02601";"Nauort";1011;10;494;"07.10.2008"
"02602";"Montabaur";11;4;415;"07.10.2008"
"02603";"Bad Ems";11;4;1596;"07.10.2008"
"02604";"Nassau Lahn";1011;3;197;"07.10.2008"
"02605";"Lîf";11;4;1497;"07.10.2008"
"02606";"Winningen Mosel";1011;3;182;"07.10.2008"
"02607";"Kobern-Gondorf";11;4;1476;"07.10.2008"
"02608";"Welschneudorf";1011;4;284;"07.10.2008"
"0261";"Koblenz a Rhein";11;4;14620;"07.10.2008"
"02620";"NeuhÑusel Westerw";11;4;1459;"07.10.2008"
"02621";"Lahnstein";11;4;1271;"07.10.2008"
"02622";"Bendorf Rhein";11;4;1058;"07.10.2008"
"02623";"Ransbach-Baumbach";11;4;1355;"07.10.2008"
"02624";"Hîhr-Grenzhausen";11;4;970;"07.10.2008"
"02625";"Ochtendung";1011;4;250;"07.10.2008"
"02626";"Selters Westerwald";1011;3;177;"07.10.2008"
"02627";"Braubach";1011;4;231;"07.10.2008"
"02628";"Rhens";1011;4;350;"07.10.2008"
"02630";"MÅlheim-KÑrlich";1011;3;194;"07.10.2008"
"02631";"Neuwied";1011;4;310;"07.10.2008"
"02632";"Andernach";1011;4;335;"07.10.2008"
"02633";"Brohl-LÅtzing";1011;10;491;"07.10.2008"
"02634";"Rengsdorf";1011;3;181;"07.10.2008"
"02635";"Rheinbrohl";1011;4;297;"07.10.2008"
"02636";"Burgbrohl";1011;4;236;"07.10.2008"
"02637";"Weissenthurm";1011;4;322;"07.10.2008"
"02638";"Waldbreitbach";1011;4;281;"07.10.2008"
"02639";"Anhausen Kr Neuwied";1011;4;255;"07.10.2008"
"02641";"Bad Neuenahr-Ahrweiler";11;4;1190;"07.10.2008"
"02642";"Remagen";1011;4;230;"07.10.2008"
"02643";"Altenahr";1011;4;331;"07.10.2008"
"02644";"Linz am Rhein";11;4;1385;"07.10.2008"
"02645";"Vettelschoss";1011;3;173;"07.10.2008"
"02646";"Kînigsfeld Eifel";1011;3;163;"07.10.2008"
"02647";"Kesseling";1011;10;800;"07.10.2008"
"02651";"Mayen";11;4;1223;"07.10.2008"
"02652";"Mendig";1011;4;219;"07.10.2008"
"02653";"Kaisersesch";1011;4;262;"07.10.2008"
"02654";"Polch";1011;10;390;"07.10.2008"
"02655";"Weibern";1011;4;250;"07.10.2008"
"02656";"Virneburg";1011;3;158;"07.10.2008"
"02657";"Uersfeld";1011;4;252;"07.10.2008"
"02661";"Bad Marienberg Westerwald";11;4;671;"07.10.2008"
"02662";"Hachenburg";11;4;1285;"07.10.2008"
"02663";"Westerburg Westerw";11;4;1508;"07.10.2008"
"02664";"Rennerod";11;4;1065;"07.10.2008"
"02666";"Freilingen Westerw";1011;3;187;"07.10.2008"
"02667";"Stein-Neukirch";1011;4;288;"07.10.2008"
"02671";"Cochem";1011;3;183;"07.10.2008"
"02672";"Treis-Karden";1011;10;425;"07.10.2008"
"02673";"Ellenz-Poltersdorf";1011;10;693;"07.10.2008"
"02674";"Bad Bertrich";1011;4;316;"07.10.2008"
"02675";"Ediger-Eller";1011;4;253;"07.10.2008"
"02676";"Ulmen";1011;4;270;"07.10.2008"
"02677";"Lutzerath";1011;4;265;"07.10.2008"
"02678";"BÅchel b Cochem";1011;3;180;"07.10.2008"
"02680";"MÅndersbach";1011;3;183;"07.10.2008"
"02681";"Altenkirchen Westerwald";11;4;1137;"07.10.2008"
"02682";"Hamm Sieg";1011;3;178;"07.10.2008"
"02683";"Asbach Westerw";1011;10;364;"07.10.2008"
"02684";"Puderbach Westerw";1011;4;279;"07.10.2008"
"02685";"Flammersfeld";1011;3;194;"07.10.2008"
"02686";"Weyerbusch";1011;4;265;"07.10.2008"
"02687";"Horhausen Westerwald";1011;3;191;"07.10.2008"
"02688";"Kroppach";1011;3;175;"07.10.2008"
"02689";"Dierdorf";1011;4;326;"07.10.2008"
"02691";"Adenau";1011;3;187;"07.10.2008"
"02692";"Kelberg";1011;3;177;"07.10.2008"
"02693";"Antweiler";1011;4;210;"07.10.2008"
"02694";"Wershofen";1011;4;267;"07.10.2008"
"02695";"Insul";1011;4;248;"07.10.2008"
"02696";"Nohn Eifel";1011;4;273;"07.10.2008"
"02697";"Blankenheim-AhrhÅtte";1011;10;481;"07.10.2008"
"0271";"Siegen";1011;30;3471;"07.10.2008"
"02721";"Lennestadt";1011;4;201;"07.10.2008"
"02722";"Attendorn";1011;3;181;"07.10.2008"
"02723";"Kirchhundem";1011;4;221;"07.10.2008"
"02724";"Finnentrop-Serkenrode";1011;4;289;"07.10.2008"
"02725";"Lennestadt-Oedingen";1011;10;420;"07.10.2008"
"02732";"Kreuztal";11;4;1558;"07.10.2008"
"02733";"Hilchenbach";1011;4;232;"07.10.2008"
"02734";"Freudenberg Westf";1011;3;164;"07.10.2008"
"02735";"Neunkirchen Siegerl";1011;4;277;"07.10.2008"
"02736";"Burbach Siegerl";11;4;1576;"07.10.2008"
"02737";"Netphen-Deuz";1011;4;321;"07.10.2008"
"02738";"Netphen";1011;4;340;"07.10.2008"
"02739";"Wilnsdorf";1011;4;328;"07.10.2008"
"02741";"Betzdorf";1011;4;226;"07.10.2008"
"02742";"Wissen";1011;3;196;"07.10.2008"
"02743";"Daaden";1011;3;192;"07.10.2008"
"02744";"Herdorf";1011;4;219;"07.10.2008"
"02745";"Brachbach Sieg";1011;3;173;"07.10.2008"
"02747";"Molzhain";11;4;1689;"07.10.2008"
"02750";"Diedenshausen";1011;10;359;"07.10.2008"
"02751";"Bad Berleburg";1011;4;237;"07.10.2008"
"02752";"Bad Laasphe";1011;4;316;"07.10.2008"
"02753";"ErndtebrÅck";1011;10;393;"07.10.2008"
"02754";"Bad Laasphe-Feudingen";1011;4;276;"07.10.2008"
"02755";"Bad Berleburg-Schwarzenau";1011;4;263;"07.10.2008"
"02758";"Bad Berleburg-Girkhausen";1011;10;357;"07.10.2008"
"02759";"Bad Berleburg-Aue";1011;4;259;"07.10.2008"
"02761";"Olpe Biggesee";11;4;1527;"07.10.2008"
"02762";"Wenden SÅdsauerland";1011;3;181;"07.10.2008"
"02763";"Drolshagen-Bleche";1011;4;256;"07.10.2008"
"02764";"Welschen Ennest";1011;4;323;"07.10.2008"
"02770";"Eschenburg";1011;10;370;"07.10.2008"
"02771";"Dillenburg";1011;4;326;"07.10.2008"
"02772";"Herborn Hess";1011;10;376;"07.10.2008"
"02773";"Haiger";11;4;1769;"07.10.2008"
"02774";"Dietzhîlztal";1011;4;278;"07.10.2008"
"02775";"Driedorf";1011;4;335;"07.10.2008"
"02776";"Bad Endbach-Hartenrod";1011;4;286;"07.10.2008"
"02777";"Breitscheid Hess";1011;4;290;"07.10.2008"
"02778";"Siegbach";1011;10;396;"07.10.2008"
"02779";"Greifenstein-Beilstein";1011;10;436;"07.10.2008"
"02801";"Xanten";11;4;1057;"07.10.2008"
"02802";"Alpen";11;4;1198;"07.10.2008"
"02803";"Wesel-BÅderich";1011;3;189;"07.10.2008"
"02804";"Xanten-Marienbaum";1011;3;185;"07.10.2008"
"0281";"Wesel";1011;30;3411;"07.10.2008"
"02821";"Kleve Niederrhein";11;4;1204;"07.10.2008"
"02822";"Emmerich";11;4;746;"07.10.2008"
"02823";"Goch";11;4;463;"07.10.2008"
"02824";"Kalkar";11;4;1427;"07.10.2008"
"02825";"Uedem";11;4;1499;"07.10.2008"
"02826";"Kranenburg Niederrhein";1011;4;201;"07.10.2008"
"02827";"Goch-Hassum";1011;4;235;"07.10.2008"
"02828";"Emmerich-Elten";1011;4;315;"07.10.2008"
"02831";"Geldern";11;4;404;"07.10.2008"
"02832";"Kevelaer";11;4;677;"07.10.2008"
"02833";"Kerken";1011;4;208;"07.10.2008"
"02834";"Straelen";11;4;1148;"07.10.2008"
"02835";"Issum";1011;4;306;"07.10.2008"
"02836";"Wachtendonk";1011;3;193;"07.10.2008"
"02837";"Weeze";1011;3;173;"07.10.2008"
"02838";"Sonsbeck";1011;3;174;"07.10.2008"
"02839";"Straelen-Herongen";1011;4;273;"07.10.2008"
"02841";"Moers";11;4;593;"07.10.2008"
"02842";"Kamp-Lintfort";11;4;497;"07.10.2008"
"02843";"Rheinberg";11;4;994;"07.10.2008"
"02844";"Rheinberg-Orsoy";1011;4;235;"07.10.2008"
"02845";"Neukirchen-Vluyn";11;4;681;"07.10.2008"
"02850";"Rees-Haldern";1011;10;403;"07.10.2008"
"02851";"Rees";1011;4;248;"07.10.2008"
"02852";"Hamminkeln";1011;3;198;"07.10.2008"
"02853";"Schermbeck";11;4;1247;"07.10.2008"
"02855";"Voerde Niederrhein";11;4;986;"07.10.2008"
"02856";"Hamminkeln-BrÅnen";1011;4;253;"07.10.2008"
"02857";"Rees-Mehr";1011;4;210;"07.10.2008"
"02858";"HÅnxe";1011;3;171;"07.10.2008"
"02859";"Wesel-Bislich";1011;3;164;"07.10.2008"
"02861";"Borken Westf";11;4;880;"07.10.2008"
"02862";"SÅdlohn";1011;3;184;"07.10.2008"
"02863";"Velen";11;4;1879;"07.10.2008"
"02864";"Reken";1011;4;234;"07.10.2008"
"02865";"Raesfeld";11;4;1186;"07.10.2008"
"02866";"Dorsten-Rhade";1011;3;186;"07.10.2008"
"02867";"Heiden Kr Borken";11;4;946;"07.10.2008"
"02871";"Bocholt";11;4;641;"07.10.2008"
"02872";"Rhede Westf";11;4;932;"07.10.2008"
"02873";"Isselburg-Werth";1011;4;229;"07.10.2008"
"02874";"Isselburg";1011;3;160;"07.10.2008"
"02902";"Warstein";1011;3;183;"07.10.2008"
"02903";"Meschede-Freienohl";1011;4;317;"07.10.2008"
"02904";"Bestwig";1011;10;369;"07.10.2008"
