Ortsnetzkennzahl;Ortsnetzname;StelligkeitNZE;StelligkeitNZZ;Losgroesse;KennzeichenHRNBbeantragbar;LetzteAenderungStelligkeit;LetzteAenderungLosgroesse
2202;Bergisch Gladbach;11;11;10000;False;12.02.2007;01.01.1998
2203;Köln-Porz;11;11;10000;False;28.02.2005;01.01.1998
2204;Bensberg;11;11;10000;False;30.04.2010;30.04.2010
2205;Rösrath;11;11;10000;False;04.09.2006;01.01.1998
2206;Overath;11;11;10000;False;04.09.2006;01.01.1998
2207;Kürten-Dürscheid;11;11;10000;False;02.04.2007;01.01.1998
2208;Niederkassel;11;11;10000;False;30.10.2006;01.01.1998
221;Köln;11;11;10000;False;12.02.2007;01.01.1998
2222;Bornheim Rheinl;11;11;10000;False;15.01.2007;01.01.1998
2223;Königswinter;11;11;10000;False;29.04.2010;29.04.2010
2224;Bad Honnef;11;11;10000;False;12.05.2003;01.01.1998
2225;Meckenheim Rheinl;11;11;10000;False;12.05.2003;01.01.1998
2226;Rheinbach;11;11;10000;False;15.01.2007;01.01.1998
2227;Bornheim-Merten;11;11;10000;False;04.09.2006;01.01.1998
2228;Remagen-Rolandseck;11;11;10000;False;30.04.2010;30.04.2010
2232;Brühl Rheinl;11;11;10000;False;30.04.2010;30.04.2010
2233;Hürth Rheinl;11;11;10000;False;12.02.2007;01.01.1998
2234;Frechen;11;11;10000;False;28.02.2005;01.01.1998
2235;Erftstadt;11;11;10000;False;18.06.2007;01.01.1998
2236;Wesseling Rheinl;11;11;10000;False;12.02.2007;01.01.1998
2237;Kerpen Rheinl-Türnich;11;11;10000;False;15.01.2007;01.01.1998
2238;Pulheim;11;11;10000;False;18.06.2007;01.01.1998
2241;Siegburg;11;11;10000;False;01.07.2001;01.01.1998
2242;Hennef Sieg;11;11;10000;False;01.08.2001;01.01.1998
2243;Eitorf;11;11;10000;False;15.01.2007;01.01.1998
2244;Königswinter-Oberpleis;11;11;10000;False;15.01.2007;01.01.1998
2245;Much;11;11;10000;False;15.01.2007;01.01.1998
2246;Lohmar Rheinland;11;11;10000;False;04.09.2006;01.01.1998
2247;Neunkirchen-Seelscheid;11;11;10000;False;15.01.2007;01.01.1998
2248;Hennef-Uckerath;11;11;10000;False;29.04.2010;29.04.2010
2251;Euskirchen;11;11;10000;False;15.01.2007;01.01.1998
2252;Zülpich;11;11;10000;False;18.06.2007;01.01.1998
2253;Bad Münstereifel;11;11;10000;False;30.04.2010;30.04.2010
2254;Weilerswist;11;11;10000;False;15.01.2007;01.01.1998
2255;Euskirchen-Flamersheim;11;11;10000;False;29.04.2010;29.04.2010
2256;Mechernich-Satzvey;11;11;10000;False;29.04.2010;29.04.2010
2257;Reckerscheid;11;11;10000;False;30.04.2010;30.04.2010
2261;Gummersbach;11;11;10000;False;05.03.2007;01.01.1998
2262;Wiehl;11;11;10000;False;15.01.2007;01.01.1998
2263;Engelskirchen;11;11;10000;False;04.12.2006;01.01.1998
2264;Marienheide;11;11;10000;False;15.01.2007;01.01.1998
2265;Reichshof-Eckenhagen;11;11;10000;False;04.12.2006;01.01.1998
2266;Lindlar;11;11;10000;False;12.05.2003;01.01.1998
2267;Wipperfürth;11;11;10000;False;30.10.2006;01.01.1998
2268;Kürten;11;11;10000;False;30.04.2010;30.04.2010
2269;Kierspe-Rönsahl;11;11;10000;False;30.04.2010;30.04.2010
2271;Bergheim Erft;11;11;10000;False;29.04.2010;29.04.2010
2272;Bedburg Erft;11;11;10000;False;15.01.2007;01.01.1998
2273;Kerpen-Horrem;11;11;10000;False;05.03.2007;01.01.1998
2274;Elsdorf Rheinl;11;11;10000;False;15.01.2007;01.01.1998
2275;Kerpen-Buir;11;11;10000;False;30.04.2010;30.04.2010
228;Bonn;11;11;10000;False;02.04.2007;01.01.1998
2291;Waldbröl;11;11;10000;False;04.12.2006;01.01.1998
2292;Windeck Sieg;11;11;10000;False;30.04.2010;30.04.2010
2293;Nümbrecht;11;11;10000;False;30.04.2010;30.04.2010
2294;Morsbach Sieg;11;11;10000;False;04.09.2006;01.01.1998
2295;Ruppichteroth;11;11;10000;False;29.04.2010;29.04.2010
2296;Reichshof-Brüchermühle;11;11;10000;False;12.05.2003;01.01.1998
2297;Wildbergerhütte;11;11;10000;False;30.04.2010;30.04.2010
2301;Holzwickede;11;11;10000;False;04.12.2006;01.01.1998
2302;Witten;11;11;10000;False;12.05.2003;01.01.1998
2303;Unna;11;11;10000;False;30.04.2010;30.04.2010
2304;Schwerte;11;11;10000;False;12.02.2007;01.01.1998
2305;Castrop-Rauxel;11;11;10000;False;12.02.2007;01.01.1998
2306;Lünen;11;11;10000;False;15.01.2007;01.01.1998
2307;Kamen;11;11;10000;False;12.02.2007;01.01.1998
2308;Unna-Hemmerde;11;11;10000;False;30.04.2010;30.04.2010
2309;Waltrop;11;11;10000;False;30.04.2010;30.04.2010
231;Dortmund;11;11;10000;False;30.04.2010;30.04.2010
2323;Herne;11;11;10000;False;12.05.2003;01.01.1998
2324;Hattingen Ruhr;11;11;10000;False;12.02.2007;01.01.1998
2325;Wanne-Eickel;11;11;10000;False;30.04.2010;30.04.2010
2327;Bochum-Wattenscheid;11;11;10000;False;30.04.2010;30.04.2010
2330;Herdecke;11;11;10000;False;30.04.2010;30.04.2010
2331;Hagen Westf;11;11;3000;False;01.07.2001;29.04.2010
2332;Gevelsberg;11;11;10000;False;30.04.2010;30.04.2010
2333;Ennepetal;11;11;10000;False;30.04.2010;30.04.2010
2334;Hagen-Hohenlimburg;11;11;10000;False;30.04.2010;30.04.2010
2335;Wetter Ruhr;11;11;10000;False;15.01.2007;01.01.1998
2336;Schwelm;11;11;10000;False;15.01.2007;01.01.1998
2337;Hagen-Dahl;11;11;10000;False;30.04.2010;30.04.2010
2338;Breckerfeld;11;11;10000;False;30.04.2010;30.04.2010
2339;Sprockhövel-Haßlinghausen;11;11;10000;False;30.04.2010;30.04.2010
234;Bochum;11;11;10000;False;29.04.2010;29.04.2010
2351;Lüdenscheid;11;11;10000;False;12.05.2003;01.01.1998
2352;Altena Westf;11;11;10000;False;29.04.2010;29.04.2010
2353;Halver;11;11;10000;False;30.04.2010;30.04.2010
2354;Meinerzhagen;11;11;10000;False;30.04.2010;30.04.2010
2355;Schalksmühle;11;11;10000;False;30.04.2010;30.04.2010
2357;Herscheid Westf;11;11;10000;False;29.04.2010;29.04.2010
2358;Meinerzhagen-Valbert;11;11;10000;False;30.04.2010;30.04.2010
2359;Kierspe;11;11;10000;False;30.04.2010;30.04.2010
2360;Haltern-Lippramsdorf;11;11;10000;False;30.04.2010;30.04.2010
2361;Recklinghausen;11;11;10000;False;01.07.2001;01.01.1998
2362;Dorsten;11;11;10000;False;30.04.2010;30.04.2010
2363;Datteln;11;11;10000;False;30.04.2010;30.04.2010
2364;Haltern Westf;11;11;10000;False;04.12.2006;01.01.1998
2365;Marl;11;11;10000;False;15.01.2007;01.01.1998
2366;Herten Westf;11;11;10000;False;30.04.2010;30.04.2010
2367;Henrichenburg;11;11;10000;False;15.01.2007;01.01.1998
2368;Oer-Erkenschwick;11;11;10000;False;30.04.2010;30.04.2010
2369;Dorsten-Wulfen;11;11;10000;False;15.01.2007;01.01.1998
2371;Iserlohn;11;11;10000;False;05.03.2007;01.01.1998
2372;Hemer;11;11;10000;False;30.04.2010;30.04.2010
2373;Menden Sauerland;11;11;10000;False;12.05.2003;01.01.1998
2374;Iserlohn-Letmathe;11;11;10000;False;30.04.2010;30.04.2010
2375;Balve;11;11;10000;False;30.04.2010;30.04.2010
2377;Wickede Ruhr;11;11;10000;False;30.04.2010;30.04.2010
2378;Fröndenberg-Langschede;11;11;10000;False;30.04.2010;30.04.2010
2379;Menden-Asbeck;11;11;10000;False;29.04.2010;29.04.2010
2381;Hamm Westf;11;11;10000;False;12.05.2003;01.01.1998
2382;Ahlen Westf;11;11;10000;False;12.05.2003;01.01.1998
2383;Bönen;11;11;10000;False;15.01.2007;01.01.1998
2384;Welver;11;11;10000;False;30.04.2010;30.04.2010
2385;Hamm-Rhynern;11;11;10000;False;15.01.2007;01.01.1998
2387;Drensteinfurt-Walstedde;11;11;10000;False;30.04.2010;30.04.2010
2388;Hamm-Uentrop;11;11;10000;False;30.04.2010;30.04.2010
2389;Werne;11;11;10000;False;04.12.2006;01.01.1998
2391;Plettenberg;11;11;10000;False;30.04.2010;30.04.2010
2392;Werdohl;11;11;10000;False;30.04.2010;30.04.2010
2393;Sundern-Allendorf;11;11;10000;False;30.04.2010;30.04.2010
2394;Neuenrade-Affeln;11;11;10000;False;30.04.2010;30.04.2010
2395;Finnentrop-Rönkhausen;11;11;10000;False;30.04.2010;30.04.2010
2401;Baesweiler;11;11;10000;False;15.01.2007;01.01.1998
2402;Stolberg Rheinl;11;11;10000;False;12.05.2003;01.01.1998
2403;Eschweiler Rheinl;11;11;10000;False;12.02.2007;01.01.1998
2404;Alsdorf Rheinl;11;11;10000;False;15.01.2007;01.01.1998
2405;Würselen;11;11;10000;False;12.02.2007;01.01.1998
2406;Herzogenrath;11;11;10000;False;15.01.2007;01.01.1998
2407;Herzogenrath-Kohlscheid;11;11;10000;False;04.12.2006;01.01.1998
2408;Aachen-Kornelimünster;11;11;10000;False;30.10.2006;01.01.1998
2409;Stolberg-Gressenich;11;11;10000;False;30.04.2010;30.04.2010
241;Aachen;11;11;10000;False;12.02.2007;01.01.1998
2421;Düren;11;11;10000;False;30.10.2006;01.01.1998
2422;Kreuzau;11;11;10000;False;30.04.2010;30.04.2010
2423;Langerwehe;11;11;10000;False;30.04.2010;30.04.2010
2424;Vettweiss;11;11;10000;False;29.04.2010;29.04.2010
2425;Nideggen-Embken;11;11;10000;False;30.04.2010;30.04.2010
2426;Nörvenich;11;11;10000;False;29.04.2010;29.04.2010
2427;Nideggen;11;11;10000;False;30.04.2010;30.04.2010
2428;Niederzier;11;11;10000;False;30.04.2010;30.04.2010
2429;Hürtgenwald;11;11;10000;False;29.04.2010;29.04.2010
2431;Erkelenz;11;11;10000;False;04.09.2006;01.01.1998
2432;Wassenberg;11;11;10000;False;15.01.2007;01.01.1998
2433;Hückelhoven;11;11;10000;False;16.03.2009;01.01.1998
2434;Wegberg;11;11;10000;False;15.01.2007;01.01.1998
2435;Erkelenz-Lövenich;11;11;10000;False;30.04.2010;30.04.2010
2436;Wegberg-Rödgen;11;11;10000;False;30.04.2010;30.04.2010
2440;Nettersheim-Tondorf;11;11;10000;False;29.04.2010;29.04.2010
2441;Kall;11;11;10000;False;29.04.2010;29.04.2010
2443;Mechernich;11;11;10000;False;02.04.2007;01.01.1998
2444;Schleiden-Gemünd;11;11;10000;False;30.04.2010;30.04.2010
2445;Schleiden Eifel;11;11;10000;False;29.04.2010;29.04.2010
2446;Heimbach Eifel;11;11;10000;False;30.04.2010;30.04.2010
2447;Dahlem b Kall;11;11;10000;False;30.04.2010;30.04.2010
2448;Hellenthal-Rescheid;11;11;10000;False;29.04.2010;29.04.2010
2449;Blankenheim Ahr;11;11;10000;False;29.04.2010;29.04.2010
2451;Geilenkirchen;11;11;10000;False;12.05.2003;01.01.1998
2452;Heinsberg Rheinl;11;11;10000;False;28.02.2005;01.01.1998
2453;Heinsberg-Randerath;11;11;10000;False;04.12.2006;01.01.1998
2454;Gangelt;11;11;10000;False;29.04.2010;29.04.2010
2455;Waldfeucht;11;11;10000;False;30.04.2010;30.04.2010
2456;Selfkant;11;11;10000;False;30.04.2010;30.04.2010
2461;Jülich;11;11;10000;False;15.01.2007;01.01.1998
2462;Linnich;11;11;10000;False;15.01.2007;01.01.1998
2463;Titz;11;11;10000;False;30.04.2010;30.04.2010
2464;Aldenhoven b Jülich;11;11;10000;False;30.04.2010;30.04.2010
2465;Inden;11;11;10000;False;30.04.2010;30.04.2010
2471;Roetgen Eifel;11;11;10000;False;30.04.2010;30.04.2010
2472;Monschau;11;11;10000;False;15.01.2007;01.01.1998
2473;Simmerath;11;11;10000;False;04.12.2006;01.01.1998
2474;Nideggen-Schmidt;11;11;10000;False;30.04.2010;30.04.2010
2482;Hellenthal;11;11;10000;False;29.04.2010;29.04.2010
2484;Mechernich-Eiserfey;11;11;10000;False;30.04.2010;30.04.2010
2485;Schleiden-Dreiborn;11;11;10000;False;30.04.2010;30.04.2010
2486;Nettersheim;11;11;10000;False;30.04.2010;30.04.2010
2501;Münster-Hiltrup;11;11;10000;False;04.09.2006;01.01.1998
2502;Nottuln;11;11;10000;False;04.12.2006;01.01.1998
2504;Telgte;11;11;10000;False;04.12.2006;01.01.1998
2505;Altenberge Westf;11;11;10000;False;30.04.2010;30.04.2010
2506;Münster-Wolbeck;11;11;10000;False;10.11.2008;01.01.1998
2507;Havixbeck;11;11;10000;False;30.04.2010;30.04.2010
2508;Drensteinfurt;11;11;10000;False;02.04.2007;01.01.1998
2509;Nottuln-Appelhülsen;11;11;10000;False;15.01.2007;01.01.1998
251;Münster;11;11;10000;False;30.04.2010;30.04.2010
2520;Wadersloh-Diestedde;11;11;10000;False;30.04.2010;30.04.2010
2521;Beckum;11;11;10000;False;15.01.2007;01.01.1998
2522;Oelde;11;11;10000;False;12.02.2007;01.01.1998
2523;Wadersloh;11;11;10000;False;29.04.2010;29.04.2010
2524;Ennigerloh;11;11;10000;False;10.11.2008;01.01.1998
2525;Beckum-Neubeckum;11;11;10000;False;30.04.2010;30.04.2010
2526;Sendenhorst;11;11;10000;False;18.06.2007;01.01.1998
2527;Lippetal-Lippborg;11;11;10000;False;30.04.2010;30.04.2010
2528;Ennigerloh-Enniger;11;11;10000;False;10.12.2007;01.01.1998
2529;Oelde-Stromberg;11;11;10000;False;30.04.2010;30.04.2010
2532;Ostbevern;11;11;10000;False;30.04.2010;30.04.2010
2533;Münster-Nienberge;11;11;10000;False;30.04.2010;30.04.2010
2534;Münster-Roxel;11;11;10000;False;02.04.2007;01.01.1998
2535;Sendenhorst-Albersloh;11;11;10000;False;30.04.2010;30.04.2010
2536;Münster-Albachten;11;11;10000;False;30.04.2010;30.04.2010
2538;Drensteinfurt-Rinkerode;11;11;10000;False;30.04.2010;30.04.2010
2541;Coesfeld;11;11;10000;False;04.12.2006;01.01.1998
2542;Gescher;11;11;10000;False;30.04.2010;30.04.2010
2543;Billerbeck Westf;11;11;10000;False;30.04.2010;30.04.2010
2545;Rosendahl-Darfeld;11;11;10000;False;30.04.2010;30.04.2010
2546;Coesfeld-Lette;11;11;10000;False;30.04.2010;30.04.2010
2547;Rosendahl-Osterwick;11;11;10000;False;30.04.2010;30.04.2010
2548;Dülmen-Rorup;11;11;10000;False;29.04.2010;29.04.2010
2551;Steinfurt-Burgsteinfurt;11;11;10000;False;15.01.2007;01.01.1998
2552;Steinfurt-Borghorst;11;11;10000;False;30.04.2010;30.04.2010
2553;Ochtrup;11;11;10000;False;15.01.2007;01.01.1998
2554;Laer Kr Steinfurt;11;11;10000;False;16.03.2009;01.01.1998
2555;Schöppingen;11;11;10000;False;30.04.2010;30.04.2010
2556;Metelen;11;11;10000;False;30.04.2010;30.04.2010
2557;Wettringen Kr Steinfurt;11;11;10000;False;30.04.2010;30.04.2010
2558;Horstmar;11;11;10000;False;30.04.2010;30.04.2010
2561;Ahaus;11;11;10000;False;15.01.2007;01.01.1998
2562;Gronau Westfalen;11;11;10000;False;15.01.2007;01.01.1998
2563;Stadtlohn;11;11;10000;False;04.09.2006;01.01.1998
2564;Vreden;11;11;10000;False;30.04.2010;30.04.2010
2565;Gronau-Epe;11;11;10000;False;18.06.2007;01.01.1998
2566;Legden;11;11;10000;False;16.03.2009;01.01.1998
2567;Ahaus-Alstätte;11;11;10000;False;30.04.2010;30.04.2010
2568;Heek;11;11;10000;False;30.04.2010;30.04.2010
2571;Greven Westf;11;11;10000;False;04.12.2006;01.01.1998
2572;Emsdetten;11;11;10000;False;12.05.2003;01.01.1998
2573;Nordwalde;11;11;10000;False;30.04.2010;30.04.2010
2574;Saerbeck;11;11;10000;False;30.04.2010;30.04.2010
2575;Greven-Reckenfeld;11;11;10000;False;04.12.2006;01.01.1998
2581;Warendorf;11;11;10000;False;12.05.2003;01.01.1998
2582;Everswinkel;11;11;10000;False;30.04.2010;30.04.2010
2583;Sassenberg;11;11;10000;False;30.04.2010;30.04.2010
2584;Warendorf-Milte;11;11;10000;False;30.04.2010;30.04.2010
2585;Warendorf-Hoetmar;11;11;10000;False;29.04.2010;29.04.2010
2586;Beelen;11;11;10000;False;30.04.2010;30.04.2010
2587;Ennigerloh-Westkirchen;11;11;10000;False;30.04.2010;30.04.2010
2588;Harsewinkel-Greffen;11;11;10000;False;30.04.2010;30.04.2010
2590;Dülmen-Buldern;11;11;10000;False;04.12.2006;01.01.1998
2591;Lüdinghausen;11;11;10000;False;15.01.2007;01.01.1998
2592;Selm;11;11;10000;False;30.04.2010;30.04.2010
2593;Ascheberg Westf;11;11;10000;False;30.04.2010;30.04.2010
2594;Dülmen;11;11;10000;False;12.05.2003;01.01.1998
2595;Olfen;11;11;10000;False;04.12.2006;01.01.1998
2596;Nordkirchen;11;11;10000;False;30.04.2010;30.04.2010
2597;Senden Westf;11;11;10000;False;04.12.2006;01.01.1998
2598;Senden-Ottmarsbocholt;11;11;10000;False;30.04.2010;30.04.2010
2599;Ascheberg-Herbern;11;11;10000;False;30.04.2010;30.04.2010
2601;Nauort;11;11;10000;False;29.04.2010;29.04.2010
2602;Montabaur;11;11;10000;False;01.08.2001;01.01.1998
2603;Bad Ems;11;11;10000;False;02.04.2007;01.01.1998
2604;Nassau Lahn;11;11;10000;False;30.04.2010;30.04.2010
2605;Löf;11;11;10000;False;02.04.2007;01.01.1998
2606;Winningen Mosel;11;11;10000;False;30.04.2010;30.04.2010
2607;Kobern-Gondorf;11;11;10000;False;02.04.2007;01.01.1998
2608;Welschneudorf;11;11;10000;False;30.04.2010;30.04.2010
261;Koblenz a Rhein;11;11;10000;False;15.09.2008;01.01.1998
2620;Neuhäusel Westerw;11;11;10000;False;21.07.2008;01.01.1998
2621;Lahnstein;11;11;10000;False;15.01.2007;01.01.1998
2622;Bendorf Rhein;11;11;10000;False;30.10.2006;01.01.1998
2623;Ransbach-Baumbach;11;11;10000;False;15.01.2007;01.01.1998
2624;Höhr-Grenzhausen;11;11;10000;False;04.12.2006;01.01.1998
2625;Ochtendung;11;11;10000;False;30.04.2010;30.04.2010
2626;Selters Westferwald;11;11;10000;False;16.03.2009;01.01.1998
2627;Braubach;11;11;10000;False;30.04.2010;30.04.2010
2628;Rhens;11;11;10000;False;30.04.2010;30.04.2010
2630;Mülheim-Kärlich;11;11;10000;False;30.04.2010;30.04.2010
2631;Neuwied;11;11;10000;False;30.04.2010;30.04.2010
2632;Andernach;11;11;10000;False;30.04.2010;30.04.2010
2633;Brohl-Lützing;11;11;10000;False;29.04.2010;29.04.2010
2634;Rengsdorf;11;11;10000;False;30.04.2010;30.04.2010
2635;Rheinbrohl;11;11;10000;False;30.04.2010;30.04.2010
2636;Burgbrohl;11;11;10000;False;30.04.2010;30.04.2010
2637;Weissenthurm;11;11;10000;False;30.04.2010;30.04.2010
2638;Waldbreitbach;11;11;10000;False;30.04.2010;30.04.2010
2639;Anhausen Kr Neuwied;11;11;10000;False;30.04.2010;30.04.2010
2641;Bad Neuenahr-Ahrweiler;11;11;10000;False;15.01.2007;01.01.1998
2642;Remagen;11;11;10000;False;30.04.2010;30.04.2010
2643;Altenahr;11;11;10000;False;30.04.2010;30.04.2010
2644;Linz am Rhein;11;11;10000;False;15.01.2007;01.01.1998
2645;Vettelschoss;11;11;10000;False;30.04.2010;30.04.2010
2646;Königsfeld Eifel;11;11;10000;False;30.04.2010;30.04.2010
2647;Kesseling;11;11;10000;False;29.04.2010;29.04.2010
2651;Mayen;11;11;10000;False;15.01.2007;01.01.1998
2652;Mendig;11;11;10000;False;30.04.2010;30.04.2010
2653;Kaisersesch;11;11;10000;False;30.04.2010;30.04.2010
2654;Polch;11;11;10000;False;29.04.2010;29.04.2010
2655;Weibern;11;11;10000;False;30.04.2010;30.04.2010
2656;Virneburg;11;11;10000;False;16.03.2009;01.01.1998
2657;Uersfeld;11;11;10000;False;30.04.2010;30.04.2010
2661;Bad Marienberg Westerwald;11;11;10000;False;04.09.2006;01.01.1998
2662;Hachenburg;11;11;10000;False;15.01.2007;01.01.1998
2663;Westerburg Westerw;11;11;10000;False;02.04.2007;01.01.1998
2664;Rennerod;11;11;10000;False;15.01.2007;01.01.1998
2666;Freilingen Westerw;11;11;10000;False;30.04.2010;30.04.2010
2667;Stein-Neukirch;11;11;10000;False;30.04.2010;30.04.2010
2671;Cochem;11;11;10000;False;30.04.2010;30.04.2010
2672;Treis-Karden;11;11;10000;False;29.04.2010;29.04.2010
2673;Ellenz-Poltersdorf;11;11;10000;False;29.04.2010;29.04.2010
2674;Bad Bertrich;11;11;10000;False;30.04.2010;30.04.2010
2675;Ediger-Eller;11;11;10000;False;30.04.2010;30.04.2010
2676;Ulmen;11;11;10000;False;30.04.2010;30.04.2010
2677;Lutzerath;11;11;10000;False;30.04.2010;30.04.2010
2678;Büchel b Cochem;11;11;10000;False;30.04.2010;30.04.2010
2680;Mündersbach;11;11;10000;False;30.04.2010;30.04.2010
2681;Altenkirchen Westerwald;11;11;10000;False;15.01.2007;01.01.1998
2682;Hamm Sieg;11;11;10000;False;11.05.2009;01.01.1998
2683;Asbach Westerw;11;11;10000;False;29.04.2010;29.04.2010
2684;Puderbach Westerw;11;11;10000;False;30.04.2010;30.04.2010
2685;Flammersfeld;11;11;10000;False;30.04.2010;30.04.2010
2686;Weyerbusch;11;11;10000;False;30.04.2010;30.04.2010
2687;Horhausen Westerwald;11;11;10000;False;30.04.2010;30.04.2010
2688;Kroppach;11;11;10000;False;30.04.2010;30.04.2010
2689;Dierdorf;11;11;10000;False;30.04.2010;30.04.2010
2691;Adenau;11;11;10000;False;30.04.2010;30.04.2010
2692;Kelberg;11;11;10000;False;30.04.2010;30.04.2010
2693;Antweiler;11;11;10000;False;30.04.2010;30.04.2010
2694;Wershofen;11;11;10000;False;30.04.2010;30.04.2010
2695;Insul;11;11;10000;False;30.04.2010;30.04.2010
2696;Nohn Eifel;11;11;10000;False;30.04.2010;30.04.2010
2697;Blankenheim-Ahrhütte;11;11;10000;False;29.04.2010;29.04.2010
271;Siegen;11;11;10000;False;29.04.2010;29.04.2010
2721;Lennestadt;11;11;10000;False;30.04.2010;30.04.2010
2722;Attendorn;11;11;10000;False;16.03.2009;01.01.1998
2723;Kirchhundem;11;11;10000;False;30.04.2010;30.04.2010
2724;Finnentrop-Serkenrode;11;11;10000;False;30.04.2010;30.04.2010
2725;Lennestadt-Oedingen;11;11;10000;False;29.04.2010;29.04.2010
2732;Kreuztal;11;11;10000;False;02.04.2007;01.01.1998
2733;Hilchenbach;11;11;10000;False;30.04.2010;30.04.2010
2734;Freudenberg Westf;11;11;10000;False;11.05.2009;01.01.1998
2735;Neunkirchen Siegerl;11;11;10000;False;30.04.2010;30.04.2010
2736;Burbach Siegerl;11;11;10000;False;12.02.2007;01.01.1998
2737;Netphen-Deuz;11;11;10000;False;30.04.2010;30.04.2010
2738;Netphen;11;11;10000;False;30.04.2010;30.04.2010
2739;Wilnsdorf;11;11;10000;False;30.04.2010;30.04.2010
2741;Betzdorf;11;11;10000;False;30.04.2010;30.04.2010
2742;Wissen;11;11;10000;False;30.04.2010;30.04.2010
2743;Daaden;11;11;10000;False;30.04.2010;30.04.2010
2744;Herdorf;11;11;10000;False;30.04.2010;30.04.2010
2745;Brachbach Sieg;11;11;10000;False;30.04.2010;30.04.2010
2747;Molzhain;11;11;10000;False;29.10.2007;01.01.1998
2750;Diedenshausen;11;11;10000;False;29.04.2010;29.04.2010
2751;Bad Berleburg;11;11;10000;False;30.04.2010;30.04.2010
2752;Bad Laasphe;11;11;10000;False;30.04.2010;30.04.2010
